District,Population
Kapilvastu,571936
Parasi,601017
Rupandehi,880196
Arghakhanchi,177086
Gulmi,296654
Palpa,261180
Nawalparasi (East),643508
Nawalparasi (West),671364
Rukum (East),214512
Rolpa,224506
Pyuthan,235523
Dang,548141
Banke,491313
Bardiya,459789
