District,Population
Bhojpur,182459
Dhankuta,163412
Ilam,290254
Jhapa,812650
Khotang,206312
Morang,965370
Okhaldhunga,147984
Panchthar,191817
Sankhuwasabha,158042
Solukhumbu,105886
Sunsari,753328
Taplejung,127461
Terhathum,113111
Udayapur,317532
